التاريخ,القسم,الفئة,المورّد,المبلغ
2025-10-02,الاتصال,نشر وإعلام,MediaNet,4200.00
2025-10-03,تقنية المعلومات,برمجيات,SysLicense,3850.00
2025-10-05,العمليات,سفر,SkyJet,1620.50
2025-10-07,الاتصال,فعاليات,ExpoHall,7800.00
2025-10-09,المالية,برمجيات,LedgerPro,990.00
2025-10-11,تقنية المعلومات,أجهزة,DeskTech,2450.75
2025-10-12,العمليات,لوازم,OfficeMart,540.25
2025-10-14,الاتصال,نشر وإعلام,PrintHouse,3120.00
2025-10-16,الموارد البشرية,تدريب,SkillUp,1850.00
2025-10-18,تقنية المعلومات,برمجيات,SysLicense,3850.00
2025-10-20,العمليات,سفر,SkyJet,2040.00
2025-10-22,المالية,استشارات,AuditPlus,5600.00
2025-10-24,الاتصال,فعاليات,ExpoHall,3300.00
2025-10-27,الموارد البشرية,لوازم,OfficeMart,420.00
2025-10-29,تقنية المعلومات,أجهزة,DeskTech,1780.50
