Date,Department,Category,Vendor,Amount
2025-10-02,Marketing,Advertising,MetaAds,4200.00
2025-10-03,IT,Software,CRMCo,3850.00
2025-10-05,Operations,Travel,SkyJet,1620.50
2025-10-07,Marketing,Events,ExpoHall,7800.00
2025-10-09,Finance,Software,LedgerPro,990.00
2025-10-11,IT,Hardware,DeskTech,2450.75
2025-10-12,Operations,Supplies,OfficeMart,540.25
2025-10-14,Marketing,Advertising,GoogleAds,3120.00
2025-10-16,HR,Training,SkillUp,1850.00
2025-10-18,IT,Software,CRMCo,3850.00
2025-10-20,Operations,Travel,SkyJet,2040.00
2025-10-22,Finance,Consulting,AuditPlus,5600.00
2025-10-24,Marketing,Events,ExpoHall,3300.00
2025-10-27,HR,Supplies,OfficeMart,420.00
2025-10-29,IT,Hardware,DeskTech,1780.50
